Comment,Designator,Footprint,LCSC,Quantity
~,U2,scd_40,,1
MAX7221xNG,U3,DIP-24_W7.62mm_Socket,,1
16MHz,Y1,XTAL_ECS-160-18-23A-EN-TR,,1
MIC5366-3.3YC5,U5,SOT-353_SC-70-5,,1
MIC5205-5.0YM5,U4,SOT-23-5,,1
ATmega328P-A,U1,TQFP-32_7x7mm_P0.8mm,,1
SW_Push,SW1,SKQGADE010,,1
100k,R12,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100k,R11,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
22k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
R_Photo,R7,R_LDR_5.1x4.3mm_P3.4mm_Vertical,,1
10k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
5.1k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
5.1k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
2N3904,Q3,TO-92_Inline,,1
2N3906,Q2,TO-92_Inline,,1
2N3906,Q1,TO-92_Inline,,1
LDS-C814RI,LED4,LDS-C814RI_LUM,,1
LDS-C814RI,LED3,LDS-C814RI_LUM,,1
LDS-C814RI,LED2,LDS-C814RI_LUM,,1
LDS-C814RI,LED1,LDS-C814RI_LUM,,1
3v3_or,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
Conn_01x02,J3,MPD_EJ508A,,1
Conn_02x03_Odd_Even,J2,PinHeader_2x03_P2.54mm_Vertical,,1
Conn_01x02,J1,PinHeader_1x02_P2.54mm_Vertical,,1
1u,C15,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C14,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C13,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1u,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1u,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
10u,C9,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
100n,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
0.1u,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
18p,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
18p,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
